Domain,IP,Status
ns6.synerfy.vn..bipbip.vn,169.62.159.227,Die
ns7.synerfy.vn..bipbip.vn,123.30.51.247,Die
ns8.synerfy.vn..bipbip.vn,210.245.87.125,Die
api.bipbip.vn,222.255.27.170,404
marketing.bipbip.vn,222.255.27.170,503
test.bipbip.vn,222.255.27.153,503
manage.bipbip.vn,222.255.27.153,500
support.bipbip.vn,222.255.27.170,503
vccloud.bipbip.vn,222.255.27.153,200
upload.bipbip.vn,222.255.27.153,503
gitlab.bipbip.vn,222.255.27.170,503
charge.bipbip.vn,222.255.27.170,503
voice.bipbip.vn,222.255.27.153,404
lotus.bipbip.vn,14.225.10.34,404
lotus.bipbip.vn,123.30.151.120,404
voiceotp.bipbip.vn,14.225.10.34,404
voiceotp.bipbip.vn,123.30.151.120,404
